OCV-FallOff Beispielmessung
Index,c2,c3,c4,c5,c6,Voltage,c8
1,0,0,0,0,0,0.03998,0
2,0,0,0,0,0,0.03478,0
3,0,0,0,0,0,0.04138,0
4,0,0,0,0,0,0.03865,0
5,0,0,0,0,0,0.04378,0
6,0,0,0,0,0,0.04177,0
7,0,0,0,0,0,0.04351,0
8,0,0,0,0,0,0.03697,0
9,0,0,0,0,0,0.03889,0
10,0,0,0,0,0,0.03627,0
11,0,0,0,0,0,0.03788,0
12,0,0,0,0,0,0.04376,0
13,0,0,0,0,0,0.04446,0
14,0,0,0,0,0,0.03656,0
15,0,0,0,0,0,0.03863,0
16,0,0,0,0,0,0.03977,0
17,0,0,0,0,0,0.04176,0
18,0,0,0,0,0,0.03472,0
19,0,0,0,0,0,0.03519,0
20,0,0,0,0,0,0.04147,0
21,0,0,0,0,0,0.03415,0
22,0,0,0,0,0,0.03866,0
23,0,0,0,0,0,0.04049,0
24,0,0,0,0,0,0.04125,0
25,0,0,0,0,0,0.03957,0
26,0,0,0,0,0,0.03890,0
27,0,0,0,0,0,0.04253,0
28,0,0,0,0,0,0.04086,0
29,0,0,0,0,0,0.03806,0
30,0,0,0,0,0,0.04011,0
31,0,0,0,0,0,0.04115,0
32,0,0,0,0,0,0.04515,0
33,0,0,0,0,0,0.04236,0
34,0,0,0,0,0,0.04364,0
35,0,0,0,0,0,0.03817,0
36,0,0,0,0,0,0.03843,0
37,0,0,0,0,0,0.03929,0
38,0,0,0,0,0,0.03957,0
39,0,0,0,0,0,0.03698,0
40,0,0,0,0,0,0.04380,0
41,0,0,0,0,0,0.04265,0
42,0,0,0,0,0,0.03908,0
43,0,0,0,0,0,0.04193,0
44,0,0,0,0,0,0.04067,0
45,0,0,0,0,0,0.04216,0
46,0,0,0,0,0,0.03597,0
47,0,0,0,0,0,0.03956,0
48,0,0,0,0,0,0.03983,0
49,0,0,0,0,0,0.04187,0
50,0,0,0,0,0,0.03811,0
51,0,0,0,0,0,0.03250,0
52,0,0,0,0,0,0.03675,0
53,0,0,0,0,0,0.03982,0
54,0,0,0,0,0,0.04019,0
55,0,0,0,0,0,0.04505,0
56,0,0,0,0,0,0.04175,0
57,0,0,0,0,0,0.04024,0
58,0,0,0,0,0,0.03990,0
59,0,0,0,0,0,0.04331,0
60,0,0,0,0,0,0.03823,0
61,0,0,0,0,0,0.03958,0
62,0,0,0,0,0,0.03673,0
63,0,0,0,0,0,0.04426,0
64,0,0,0,0,0,0.04118,0
65,0,0,0,0,0,0.03788,0
66,0,0,0,0,0,0.03966,0
67,0,0,0,0,0,0.04153,0
68,0,0,0,0,0,0.03925,0
69,0,0,0,0,0,0.03840,0
70,0,0,0,0,0,0.03804,0
71,0,0,0,0,0,0.04102,0
72,0,0,0,0,0,0.03893,0
73,0,0,0,0,0,0.03864,0
74,0,0,0,0,0,0.03599,0
75,0,0,0,0,0,0.04023,0
76,0,0,0,0,0,0.03946,0
77,0,0,0,0,0,0.03904,0
78,0,0,0,0,0,0.04060,0
79,0,0,0,0,0,0.04224,0
80,0,0,0,0,0,0.04210,0
81,0,0,0,0,0,0.04166,0
82,0,0,0,0,0,0.03928,0
83,0,0,0,0,0,0.03830,0
84,0,0,0,0,0,0.03687,0
85,0,0,0,0,0,0.03822,0
86,0,0,0,0,0,0.04006,0
87,0,0,0,0,0,0.03764,0
88,0,0,0,0,0,0.04029,0
89,0,0,0,0,0,0.03710,0
90,0,0,0,0,0,0.03502,0
91,0,0,0,0,0,0.04246,0
92,0,0,0,0,0,0.03858,0
93,0,0,0,0,0,0.03749,0
94,0,0,0,0,0,0.03672,0
95,0,0,0,0,0,0.04127,0
96,0,0,0,0,0,0.04412,0
97,0,0,0,0,0,0.03879,0
98,0,0,0,0,0,0.03935,0
99,0,0,0,0,0,0.04321,0
100,0,0,0,0,0,0.03457,0
101,0,0,0,0,0,0.04590,0
102,0,0,0,0,0,0.04733,0
103,0,0,0,0,0,0.03188,0
104,0,0,0,0,0,0.03971,0
105,0,0,0,0,0,0.03784,0
106,0,0,0,0,0,0.03921,0
107,0,0,0,0,0,0.03874,0
108,0,0,0,0,0,0.04244,0
109,0,0,0,0,0,0.03966,0
110,0,0,0,0,0,0.03727,0
111,0,0,0,0,0,0.03948,0
112,0,0,0,0,0,0.04154,0
113,0,0,0,0,0,0.03645,0
114,0,0,0,0,0,0.03506,0
115,0,0,0,0,0,0.04598,0
116,0,0,0,0,0,0.03807,0
117,0,0,0,0,0,0.03959,0
118,0,0,0,0,0,0.03881,0
119,0,0,0,0,0,0.04164,0
120,0,0,0,0,0,0.04532,0
121,0,0,0,0,0,0.04174,0
122,0,0,0,0,0,0.03544,0
123,0,0,0,0,0,0.03585,0
124,0,0,0,0,0,0.03880,0
125,0,0,0,0,0,0.03920,0
126,0,0,0,0,0,0.03483,0
127,0,0,0,0,0,0.04246,0
128,0,0,0,0,0,0.03674,0
129,0,0,0,0,0,0.04448,0
130,0,0,0,0,0,0.04546,0
131,0,0,0,0,0,0.03926,0
132,0,0,0,0,0,0.04132,0
133,0,0,0,0,0,0.03630,0
134,0,0,0,0,0,0.04187,0
135,0,0,0,0,0,0.03851,0
136,0,0,0,0,0,0.03674,0
137,0,0,0,0,0,0.03913,0
138,0,0,0,0,0,0.03860,0
139,0,0,0,0,0,0.03902,0
