Messgeraet: Beispiel Potentiostat
Messmethode: DCR
Slewrate: 10 mV/s

Number	Time[s]	U[V]	I[A]
1	0.00	-0.150000	-0.105411
2	0.10	-0.148997	-0.105687
3	0.20	-0.147993	-0.104581
4	0.30	-0.146990	-0.103957
5	0.40	-0.145987	-0.102429
6	0.50	-0.144983	-0.101818
7	0.60	-0.143980	-0.100767
8	0.70	-0.142977	-0.101349
9	0.80	-0.141973	-0.100106
10	0.90	-0.140970	-0.100027
11	1.00	-0.139967	-0.099018
12	1.10	-0.138963	-0.097853
13	1.20	-0.137960	-0.097912
14	1.30	-0.136957	-0.096930
15	1.40	-0.135953	-0.095502
16	1.50	-0.134950	-0.094963
17	1.60	-0.133946	-0.094776
18	1.70	-0.132943	-0.093479
19	1.80	-0.131940	-0.092420
20	1.90	-0.130936	-0.092998
21	2.00	-0.129933	-0.091013
22	2.10	-0.128930	-0.090479
23	2.20	-0.127926	-0.090345
24	2.30	-0.126923	-0.089934
25	2.40	-0.125920	-0.087944
26	2.50	-0.124916	-0.088231
27	2.60	-0.123913	-0.087914
28	2.70	-0.122910	-0.087201
29	2.80	-0.121906	-0.085294
30	2.90	-0.120903	-0.084977
31	3.00	-0.119900	-0.083945
32	3.10	-0.118896	-0.083362
33	3.20	-0.117893	-0.082965
34	3.30	-0.116890	-0.081560
35	3.40	-0.115886	-0.081804
36	3.50	-0.114883	-0.080820
37	3.60	-0.113880	-0.079670
38	3.70	-0.112876	-0.079301
39	3.80	-0.111873	-0.078205
40	3.90	-0.110870	-0.077953
41	4.00	-0.109866	-0.077043
42	4.10	-0.108863	-0.077391
43	4.20	-0.107860	-0.076393
44	4.30	-0.106856	-0.075588
45	4.40	-0.105853	-0.075217
46	4.50	-0.104849	-0.074265
47	4.60	-0.103846	-0.073769
48	4.70	-0.102843	-0.072780
49	4.80	-0.101839	-0.071501
50	4.90	-0.100836	-0.071228
51	5.00	-0.099833	-0.070512
52	5.10	-0.098829	-0.070063
53	5.20	-0.097826	-0.069264
54	5.30	-0.096823	-0.067486
55	5.40	-0.095819	-0.067242
56	5.50	-0.094816	-0.066597
57	5.60	-0.093813	-0.066591
58	5.70	-0.092809	-0.064992
59	5.80	-0.091806	-0.065191
60	5.90	-0.090803	-0.064138
61	6.00	-0.089799	-0.062456
62	6.10	-0.088796	-0.062308
63	6.20	-0.087793	-0.061735
64	6.30	-0.086789	-0.060824
65	6.40	-0.085786	-0.059864
66	6.50	-0.084783	-0.059264
67	6.60	-0.083779	-0.059433
68	6.70	-0.082776	-0.059042
69	6.80	-0.081773	-0.057882
70	6.90	-0.080769	-0.057251
71	7.00	-0.079766	-0.056636
72	7.10	-0.078763	-0.054758
73	7.20	-0.077759	-0.054158
