EIS Beispielmessung
Number	Frequency[Hz]	Impedance[Ohm]	Phase[deg]
1	1.000000e+04	4.233984e-04	-1.437629e+01
2	7.443803e+03	4.410376e-04	-1.853315e+01
3	5.541020e+03	4.706076e-04	-2.326132e+01
4	4.124626e+03	5.180482e-04	-2.808716e+01
5	3.070291e+03	5.897037e-04	-3.223412e+01
6	2.285464e+03	6.899231e-04	-3.483160e+01
7	1.701254e+03	8.175709e-04	-3.525871e+01
8	1.266380e+03	9.629876e-04	-3.340889e+01
9	9.426685e+02	1.108604e-03	-2.973496e+01
10	7.017038e+02	1.235601e-03	-2.505630e+01
11	5.223345e+02	1.332702e-03	-2.021934e+01
12	3.888155e+02	1.399240e-03	-1.581884e+01
13	2.894266e+02	1.441309e-03	-1.212742e+01
14	2.154435e+02	1.466523e-03	-9.182086e+00
15	1.603719e+02	1.481142e-03	-6.901113e+00
16	1.193777e+02	1.489453e-03	-5.164902e+00
17	8.886238e+01	1.494126e-03	-3.856271e+00
18	6.614741e+01	1.496736e-03	-2.875356e+00
19	4.923883e+01	1.498188e-03	-2.142355e+00
20	3.665241e+01	1.498995e-03	-1.595552e+00
21	2.728333e+01	1.499443e-03	-1.188038e+00
22	2.030918e+01	1.499691e-03	-8.844929e-01
23	1.511775e+01	1.499829e-03	-6.584571e-01
24	1.125336e+01	1.499905e-03	-4.901664e-01
25	8.376776e+00	1.499947e-03	-3.648801e-01
26	6.235507e+00	1.499971e-03	-2.716136e-01
27	4.641589e+00	1.499984e-03	-2.021855e-01
28	3.455107e+00	1.499991e-03	-1.505036e-01
29	2.571914e+00	1.499995e-03	-1.120322e-01
30	1.914482e+00	1.499997e-03	-8.339469e-02
31	1.425103e+00	1.499998e-03	-6.207741e-02
32	1.060818e+00	1.499999e-03	-4.620922e-02
33	7.896523e-01	1.500000e-03	-3.439724e-02
34	5.878016e-01	1.500000e-03	-2.560463e-02
35	4.375479e-01	1.500000e-03	-1.905959e-02
36	3.257021e-01	1.500000e-03	-1.418758e-02
37	2.424462e-01	1.500000e-03	-1.056096e-02
38	1.804722e-01	1.500000e-03	-7.861368e-03
39	1.343399e-01	1.500000e-03	-5.851847e-03
40	1.000000e-01	1.500000e-03	-4.356000e-03
