07/10/2026 10:00:00 AM.000
65.0416	64.8737	64.9104	64.8967	64.8171	64.7481	64.9115	65.0232	65.2327	65.0591
65.7333	65.2044	65.4134	65.6422	65.5686	65.3278	65.6868	65.3937	65.3445	65.5974
66.0012	65.8954	65.8886	65.7860	65.9209	66.2200	66.0489	66.1917	66.1032	65.8776
66.1702	66.3146	66.3658	66.3503	66.6962	66.6941	66.9424	66.3473	66.8195	66.8183
66.9535	67.0947	67.2481	66.9882	66.9727	66.8745	66.5280	67.0141	66.8580	66.7849
67.5844	67.2097	67.6612	67.5967	67.4200	67.4873	67.2620	67.6501	67.5375	67.5524
68.1004	67.8715	67.6962	68.1915	68.1377	67.8929	68.0818	68.2516	68.2277	67.8871
68.2022	68.2366	68.4377	68.7925	68.3543	68.3807	68.3766	68.3937	68.4978	68.2440
07/10/2026 10:00:01 AM.000
65.3169	65.0710	65.5958	64.8653	65.4180	65.3783	65.0177	65.0210	64.9157	64.9180
65.5999	65.6041	65.2795	66.0587	65.5481	65.6131	65.4748	65.5466	65.5284	65.5994
66.0971	66.2610	66.1454	66.2409	66.0980	66.1463	66.0517	66.3006	66.1645	66.0684
66.5624	66.5782	66.6061	66.5887	66.4882	66.7530	66.7656	66.9568	66.4793	66.7333
66.7182	67.2658	66.8087	66.9031	67.1664	66.9757	66.9483	67.0030	67.2459	66.9134
67.5892	67.5243	67.7640	67.7696	67.2329	67.8090	67.4778	67.6473	67.4122	67.6742
68.6103	68.1254	68.0080	68.0536	67.8062	68.3898	68.1626	67.8902	67.8967	68.1031
68.7864	68.3698	68.8227	68.5817	68.4140	68.5065	68.9497	68.3224	68.4536	68.7905
07/10/2026 10:00:02 AM.000
65.2433	65.0418	65.3930	65.4025	65.2663	65.0775	65.1083	65.2569	64.9376	65.4656
66.0400	65.6528	65.7712	65.9372	66.0911	66.0114	65.3529	65.6369	65.8001	65.6012
66.5566	66.5259	66.0368	66.1675	66.0501	66.1610	66.1549	66.3909	66.0223	65.6767
66.3791	66.4943	66.5689	66.7374	66.4840	66.4578	66.5141	66.4769	66.5891	66.5805
67.3378	67.0021	67.1285	67.0910	67.3618	67.1691	67.4101	66.9695	67.1901	67.0848
67.4548	67.6865	68.0466	67.5294	67.6745	67.4376	67.4082	67.5425	67.6100	67.6189
68.1548	67.8703	68.0748	68.3004	67.9284	68.1290	68.2586	68.0435	68.2683	67.8958
68.8777	68.7732	68.7111	68.9250	68.6341	68.5764	68.9745	69.0682	68.5613	68.6773
07/10/2026 10:00:03 AM.000
65.5090	65.2844	65.4189	65.4561	65.1875	65.3839	65.2988	65.0566	65.1021	65.1695
65.9857	65.9923	65.9500	65.8880	65.8826	65.8555	65.8815	65.8951	65.5191	65.6420
66.0942	66.5214	66.6308	65.8662	66.6130	66.3173	66.5025	66.4013	66.5881	66.3419
66.5273	66.7789	66.9031	66.7568	66.9315	66.7869	66.6809	66.5828	66.7216	66.8409
66.9081	67.1440	66.9007	67.1766	67.5395	67.0628	67.4406	67.8698	67.5907	67.3267
67.9717	67.5261	67.4853	67.8057	67.8797	68.0189	67.6862	67.8387	67.8318	67.7737
68.2855	68.1291	68.3559	68.3390	68.2120	68.4332	68.5056	68.4355	68.0915	68.3199
68.6177	68.8193	68.6185	69.0554	68.9567	69.0306	69.0103	68.7459	68.7149	69.1483
07/10/2026 10:00:04 AM.000
65.3670	65.1291	65.6015	65.4288	65.7012	65.4486	65.3960	65.7052	65.0923	65.2829
65.7225	65.4610	66.0746	65.7885	66.0811	65.9778	66.0214	65.8089	65.7472	65.9180
66.5838	66.3899	66.2596	66.1602	66.4408	66.2892	66.3857	66.3522	66.3111	66.4588
67.0109	67.2931	67.0516	67.2187	66.7363	66.5798	66.8971	67.0716	67.0402	67.1423
66.8927	67.6506	67.4671	67.0912	67.5447	67.4339	67.4762	67.5998	67.4861	67.1054
67.8714	67.5765	68.0298	68.1796	67.6517	67.7657	67.7235	67.8092	67.9825	67.8114
68.5305	68.6131	68.6204	68.1764	68.6772	68.6932	68.7105	68.3684	68.2496	68.2032
68.6796	68.9023	69.0696	69.1613	68.8029	68.8923	68.8792	68.7729	69.0471	68.9726
07/10/2026 10:00:05 AM.000
